"country","year","gdp","population","gdp_per_capita","gini"
Belarus,2010,57222490768.7143,9490583.0,6029.40,28.6
Belgium,2010,481420882905.001,10895586,44184.95,28.4
Bosnia and Herzegovina,2010,17176781336.7644,3705478.0,4635.51,
Bulgaria,2010,50381825504.2642,7395599.0,6812.41,35.7
Croatia,2010,59918313669.1671,4295427.0,13949.33,32.4
Czech Republic,2010,209069940963.177,10474410,19960.07,26.6
Denmark,2010,321995279401.502,5547683.0,58041.40,27.2
Estonia,2010,1258853226.89866,1331475.0,945.46,32.0
Faroe Islands,2010,2320424601.26954,47803.0,48541.40,
Finland,2010,249424310816.667,5363352.0,46505.30,27.7
France,2010,2645187882116.67,65027505,40677.99,33.7
Germany,2010,3399667820000.01,81776930,41572.46,30.2
Gibraltar,2010,,33585.0,,
Greece,2010,297124961971.501,11121341,26716.65,34.1
Hungary,2010,131916516051.985,10000023,13191.62,29.4
Iceland,2010,13751161917.7398,318041.0,43237.07,26.2
Ireland,2010,222287851794.584,4560155.0,48745.68,32.3
Italy,2010,2136099955236.67,59277417,36035.64,34.7
Latvia,2010,33974713228.7101,2097555.0,16197.29,35.0
Liechtenstein,2010,5082366478.08994,35996.0,141192.53,
Lithuania,2010,10756042844.3535,3097282.0,3472.74,33.6
Luxembourg,2010,53264394998.6001,506953.0,105067.72,30.5
Malta,2010,9035932122.49768,414508.0,21799.17,29.0
Moldova,2010,6974960345.3712,2861487.0,2437.53,32.1
Monaco,2010,5367625613.15127,35609.0,150737.89,
Montenegro,2010,4143033275.88493,619428.0,6688.48,
Netherlands,2010,847380859016.668,16615394,50999.75,27.8
North Macedonia,2010,9412311665.9492,2070737.0,4545.39,40.2
Norway,2010,428757038466.841,4889252.0,87693.79,25.7
Poland,2010,479834179020.33,38042794,12613.01,33.2
Portugal,2010,238113003233.284,10573100,22520.64,35.8
Romania,2010,166309355234.589,20246871,8214.08,35.5
Russian Federation,2010,1524917468442.01,142849468,10675.00,39.5
San Marino,2010,1881214370.93994,31221.0,60254.78,
Serbia,2010,41819468691.8251,7291436.0,5735.42,
Slovakia,2010,90398832433.9335,5391428.0,16767.14,27.3
Slovenia,2010,48208240226.4501,2048583.0,23532.48,24.9
Spain,2010,1422108199783.34,46576897,30532.48,35.2
Sweden,2010,495812558843.31,9378126.0,52869.04,27.7
Switzerland,2010,603434493402.679,7824909.0,77117.13,32.6
Ukraine,2010,136013155905.036,45870741,2965.14,24.8
United Kingdom,2010,2481579504997.81,62766365,39536.77,34.4
Albania,2011,12230507222.1843,2905195.0,4209.87,
Andorra,2011,3449688452.87021,83748.0,41191.29,
Austria,2011,403740513438.199,8391643.0,48112.21,30.8
Belarus,2011,60300321142.6581,9473172.0,6365.38,27.2
Belgium,2011,489578626676.653,11038264,44352.86,28.1
Bosnia and Herzegovina,2011,17341594485.6047,3661173.0,4736.62,33.0
Bulgaria,2011,51568094264.4734,7348328.0,7017.66,34.3
Croatia,2011,59799454151.6423,4280622.0,13969.80,32.3
Czech Republic,2011,212750323790.759,10496088,20269.49,26.4
Denmark,2011,326299640707.019,5570572.0,58575.61,27.3
Estonia,2011,1352344121.715,1327439.0,1018.76,32.5
Faroe Islands,2011,,47815.0,,
Finland,2011,255778806281.83,5388272.0,47469.54,27.6
France,2011,2703188933543.06,65342789,41369.35,33.3
Germany,2011,3533111333252.44,80274983,44012.61,30.5
Gibraltar,2011,,33608.0,,
Greece,2011,266968814916.016,11104899,24040.63,34.8
Hungary,2011,134471881165.37,9971727.0,13485.32,29.2
Iceland,2011,14004977998.1585,319014.0,43900.83,26.8
Ireland,2011,223624003883.013,4580084.0,48825.31,32.9
Italy,2011,2151209302546.05,59379449,36228.18,35.1
Latvia,2011,36172486448.4331,2059709.0,17561.94,35.8
Liechtenstein,2011,,36299.0,,
Lithuania,2011,11405601149.4605,3028115.0,3766.57,32.5
Luxembourg,2011,54616903567.9042,518347.0,105367.45,32.1
Malta,2011,9078134520.83534,416268.0,21808.39,29.1
Moldova,2011,7380775144.91523,2859833.0,2580.84,30.6
Monaco,2011,5743359406.07185,36025.0,159427.05,
Montenegro,2011,4276787738.05463,620079.0,6897.17,
Netherlands,2011,860525340337.452,16693074,51549.84,27.8
North Macedonia,2011,9632549033.15179,2072484.0,4647.83,39.4
Norway,2011,432965007871.716,4953088.0,87413.15,25.3
Poland,2011,502662952276.722,38063255,13205.99,33.2
Portugal,2011,234074214334.376,10557560,22171.24,36.3
Romania,2011,169479324149.248,20147528,8411.92,35.9
Russian Federation,2011,1590489364644.29,142960908,11125.34,39.7
San Marino,2011,1724795655.61309,31655.0,54487.31,
Serbia,2011,42671028784.1099,7234099.0,5898.60,
Slovakia,2011,92972684423.6731,5398384.0,17222.32,26.5
Slovenia,2011,48623471168.9764,2052843.0,23685.92,24.9
Spain,2011,1410526928100.77,46742697,30176.41,35.7
Sweden,2011,511655422318.786,9449213.0,54147.94,27.6
Switzerland,2011,615023126905.369,7912398.0,77729.04,31.7
Ukraine,2011,143446957451.616,45706086,3138.47,24.6
United Kingdom,2011,2513237223477.67,63258810,39729.44,33.2
Albania,2012,12403877841.0321,2900401.0,4276.61,29.0
Andorra,2012,3278085642.31738,82427.0,39769.56,
Austria,2012,406487747903.707,8429991.0,48219.24,30.5
Belarus,2012,61317669289.2363,9464495.0,6478.70,26.5
Belgium,2012,493197676499.208,11106932,44404.49,27.5
Bosnia and Herzegovina,2012,17199074936.9112,3604972.0,4770.93,
Bulgaria,2012,51751979375.9177,7305888.0,7083.60,36.0
Croatia,2012,58369186194.0968,4267558.0,13677.42,32.5
Czech Republic,2012,211080224602.858,10510785,20082.25,26.1
Denmark,2012,327038708713.874,5591572.0,58487.79,27.8
Estonia,2012,1394405238.91226,1322696.0,1054.21,32.9
Faroe Islands,2012,,47843.0,,
Finland,2012,252204180501.055,5413971.0,46583.95,27.1
France,2012,2711653557481.26,65659814,41298.53,33.1
Germany,2012,3547897319183.13,80425823,44113.91,30.9
Gibraltar,2012,,33653.0,,
Greece,2012,248061138528.468,11045011,22459.11,36.3
Hungary,2012,132615331004.73,9920362.0,13367.99,30.8
Iceland,2012,14153940071.0105,320716.0,44132.32,26.8
Ireland,2012,223909812167.535,4599533.0,48680.99,33.2
Italy,2012,2087083780359.59,59539717,35053.64,35.2
Latvia,2012,37710440391.8362,2034319.0,18537.13,35.2
Liechtenstein,2012,,36615.0,,
Lithuania,2012,11844017031.4634,2987773.0,3964.16,35.1
Luxembourg,2012,54424368010.6887,530946.0,102504.53,34.3
Malta,2012,9451945528.64474,420028.0,22503.13,29.4
Moldova,2012,7337248195.12826,2859458.0,2565.96,29.2
Monaco,2012,5800793053.16187,36459.0,159104.56,
Montenegro,2012,4160296612.28314,620601.0,6703.66,41.2
Netherlands,2012,851658883145.551,16754962,50830.25,27.6
North Macedonia,2012,9588606960.45675,2074275.0,4622.63,38.1
Norway,2012,444668526003.851,5018573.0,88604.57,25.7
Poland,2012,509322687626.439,38063164,13380.99,33.0
Portugal,2012,224577136198.924,10514844,21358.10,36.0
Romania,2012,172937829621.072,20058035,8621.87,36.5
Russian Federation,2012,1654492026998.83,143201721,11553.58,40.7
San Marino,2012,1603291832.10026,32103.0,49942.12,
Serbia,2012,42380207643.5152,7199077.0,5886.89,39.9
Slovakia,2012,94736136629.9989,5407579.0,17519.14,26.1
Slovenia,2012,47340084426.0571,2057159.0,23012.36,25.6
Spain,2012,1368783211618.46,46773055,29264.35,35.4
Sweden,2012,508645330091.796,9519374.0,53432.64,27.6
Switzerland,2012,622509149394.166,7996861.0,77844.19,31.6
Ukraine,2012,143789339118.051,45593342,3153.74,24.7
United Kingdom,2012,2549186468912.68,63700215,40018.49,32.3
Albania,2013,12528163103.1195,2895092.0,4327.38,
Andorra,2013,3161792390.29564,80770.0,39145.63,
Austria,2013,406591421433.927,8479823.0,47948.10,30.8
Belarus,2013,61932974220.8466,9465997.0,6542.68,26.6
Belgium,2013,495462648324.133,11159407,44398.65,27.7
Bosnia and Herzegovina,2013,17603228545.3329,3542598.0,4969.02,
Bulgaria,2013,51920571507.3287,7265115.0,7146.56,36.6
Croatia,2013,58108222128.8461,4255689.0,13654.25,32.0
Czech Republic,2013,210983331025.624,10514272,20066.38,26.5
Denmark,2013,330091094977.815,5614932.0,58788.08,28.5
Estonia,2013,1413176509.34604,1317997.0,1072.22,35.1
Faroe Islands,2013,,47901.0,,
Finland,2013,249930064696.187,5438972.0,45951.71,27.2
France,2013,2727281540260.42,65998685,41323.27,32.5
Germany,2013,3563422609296.38,80645605,44186.20,31.1
Gibraltar,2013,,33694.0,,
Greece,2013,241259867501.329,10965211,22002.30,36.1
Hungary,2013,135082972930.623,9893082.0,13654.29,31.5
Iceland,2013,14798292576.4812,323764.0,45707.04,25.4
Ireland,2013,226656857706.201,4623816.0,49019.44,33.5
Italy,2013,2048659201948.41,60233948,34011.70,34.9
Latvia,2013,38581617963.9437,2012647.0,19169.59,35.5
Liechtenstein,2013,,36940.0,,
Lithuania,2013,12264488263.5827,2957689.0,4146.65,35.3
Luxembourg,2013,56413236518.3812,543360.0,103822.95,32.0
Malta,2013,9969284127.5679,425967.0,23403.89,28.8
Moldova,2013,8000819052.00779,2858692.0,2798.77,28.5
Monaco,2013,6357669097.17619,36899.0,172299.22,
Montenegro,2013,4307944887.65039,621207.0,6934.80,39.0
Netherlands,2013,850550233737.807,16804432,50614.64,28.1
North Macedonia,2013,9869098420.48675,2076065.0,4753.75,36.2
Norway,2013,449266722786.278,5079623.0,88444.89,26.4
Poland,2013,515056478625.676,38040196,13539.80,33.1
Portugal,2013,222505087211.577,10457295,21277.50,36.2
Romania,2013,179459249986.084,19983693,8980.28,36.9
Russian Federation,2013,1683535346495.76,143506995,11731.38,40.9
San Marino,2013,1590722471.04721,32554.0,48864.12,
Serbia,2013,43606113097.5697,7164132.0,6086.73,39.5
Slovakia,2013,95367586177.8506,5413393.0,17616.97,28.1
Slovenia,2013,46852821092.7902,2059953.0,22744.61,26.2
Spain,2013,1349135775978.08,46620045,28938.96,36.2
Sweden,2013,514686895802.716,9600379.0,53611.10,28.8
Switzerland,2013,633849198063.623,8089346.0,78356.05,32.5
Ukraine,2013,143750950398.359,45489648,3160.08,24.6
United Kingdom,2013,2604914574687.66,64128273,40620.38,33.2
Albania,2014,12750473701.7819,2889104.0,4413.30,34.6
Andorra,2014,3240978390.56079,79213.0,40914.73,
Austria,2014,409280100109.633,8546356.0,47889.43,30.5
Belarus,2014,63002175707.5323,9474511.0,6649.65,27.2
Belgium,2014,503283690440.236,11209057,44899.74,28.1
Bosnia and Herzegovina,2014,17806343590.1312,3482106.0,5113.67,
Bulgaria,2014,52899515523.1699,7223938.0,7322.81,37.4
Croatia,2014,57909810141.88,4238389.0,13663.17,32.1
Czech Republic,2014,215755991069.112,10525347,20498.71,25.9
Denmark,2014,335436569740.648,5643475.0,59437.95,28.4
Estonia,2014,1455392682.02426,1314545.0,1107.15,34.6
Faroe Islands,2014,,47965.0,,
Finland,2014,249018049503.61,5461512.0,45595.08,26.8
France,2014,2753359344138.85,66312067,41521.24,32.3
Germany,2014,3642157979491.28,80982500,44974.63,30.9
Gibraltar,2014,,33726.0,,
Greece,2014,242944211867.598,10892413,22303.98,35.8
Hungary,2014,140795565306.983,9866468.0,14270.11,30.9
Iceland,2014,15047971591.1662,327386.0,45964.00,27.8
Ireland,2014,246241019995.408,4657740.0,52867.06,31.9
Italy,2014,2048566038303.31,60789140,33699.54,34.7
Latvia,2014,38995843365.7812,1993782.0,19558.73,35.1
Liechtenstein,2014,,37219.0,,
Lithuania,2014,12698284425.0764,2932367.0,4330.39,37.7
Luxembourg,2014,58837192739.3142,556319.0,105761.61,31.2
Malta,2014,10730293230.9693,434558.0,24692.43,29.0
Moldova,2014,8400830055.05566,2856950.0,2940.49,26.8
Monaco,2014,6815421317.77807,37320.0,182621.15,
Montenegro,2014,4384784936.38777,621810.0,7051.65,38.8
Netherlands,2014,862656926597.85,16865008,51150.70,28.6
North Macedonia,2014,10227260191.7624,2077780.0,4922.21,35.2
Norway,2014,458115229920.278,5137232.0,89175.50,26.8
Poland,2014,532458063874.241,38011735,14007.73,32.8
Portugal,2014,224267750933.647,10401062,21562.01,35.6
Romania,2014,185935438388.184,19908979,9339.28,36.0
Russian Federation,2014,1695930665412.95,143819667,11792.06,39.9
San Marino,2014,1579549705.66672,32941.0,47950.87,
Serbia,2014,42912989429.7754,7130576.0,6018.17,40.5
Slovakia,2014,97886806555.4282,5418649.0,18064.80,26.1
Slovenia,2014,48149781597.2791,2061980.0,23351.24,25.7
Spain,2014,1367806573139.25,46480882,29427.29,36.1
Sweden,2014,528366235242.641,9696110.0,54492.60,28.4
Switzerland,2014,649358506468.394,8188649.0,79299.83,32.5
Ukraine,2014,134331480637.625,45272155,2967.20,24.0
United Kingdom,2014,2679486211063.81,64602298,41476.64,34.0
Albania,2015,13033375121.5884,2880703.0,4524.37,32.9
Andorra,2015,3287458570.8604,77993.0,42150.69,
Austria,2015,413432253216.039,8642699.0,47836.01,30.5
Belarus,2015,60589462935.5585,9489616.0,6384.82,25.6
Belgium,2015,513558020680.56,11274196,45551.63,27.7
Bosnia and Herzegovina,2015,18356410773.0628,3429362.0,5352.72,
Bulgaria,2015,55010127749.7693,7177991.0,7663.72,38.6
Croatia,2015,59318112197.5722,4203604.0,14111.25,31.1
Czech Republic,2015,227381745549.048,10546059,21560.83,25.9
Denmark,2015,343294476994.931,5683483.0,60402.13,28.2
Estonia,2015,1482243027.71369,1315407.0,1126.83,32.7
Faroe Islands,2015,,48055.0,,
Finland,2015,250371859068.695,5479531.0,45692.21,27.1
France,2015,2784001820060.14,66548272,41834.32,32.7
Germany,2015,3696496482672.59,81686611,45252.17,31.7
Gibraltar,2015,,33742.0,,
Greece,2015,241943520921.99,10820883,22358.94,36.0
Hungary,2015,146173151085.081,9843028.0,14850.43,30.4
Iceland,2015,15715599487.2528,330815.0,47505.70,26.8
Ireland,2015,308235649867.516,4701957.0,65554.76,31.8
Italy,2015,2064510116906.73,60730582,33994.57,35.4
Latvia,2015,40558357687.4366,1977527.0,20509.64,34.2
Liechtenstein,2015,,37465.0,,
Lithuania,2015,12955371854.0676,2904910.0,4459.82,37.4
Luxembourg,2015,61370976137.0688,569604.0,107743.23,32.9
Malta,2015,11761274055.5891,445053.0,26426.68,29.4
Moldova,2015,8372415480.26162,2834530.0,2953.72,27.0
Monaco,2015,7149376905.74042,37723.0,189523.02,
Montenegro,2015,4533444861.21991,622159.0,7286.63,39.0
Netherlands,2015,879557839900.357,16939923,51922.19,28.2
North Macedonia,2015,10621609552.3164,2079335.0,5108.18,35.6
Norway,2015,467126944887.83,5188607.0,90029.36,27.5
Poland,2015,555014724902.995,37986412,14610.88,31.8
Portugal,2015,228286732295.719,10358076,22039.49,35.5
Romania,2015,191427365158.106,19815616,9660.43,35.9
Russian Federation,2015,1662474715110.35,144096870,11537.20,37.7
San Marino,2015,1615745175.01546,33270.0,48564.63,
Serbia,2015,43688023451.3019,7095383.0,6157.25,40.5
Slovakia,2015,102599958081.508,5423801.0,18916.62,26.5
Slovenia,2015,49213931063.9334,2063531.0,23849.38,25.4
Spain,2015,1420264316878.6,46444832,30579.60,36.2
Sweden,2015,552086083358.095,9799186.0,56339.99,29.2
Switzerland,2015,660123368612.609,8282396.0,79701.98,32.3
Ukraine,2015,121203317705.377,45154036,2684.22,25.5
United Kingdom,2015,2742804332759.55,65116219,42121.68,33.2
Albania,2016,13465406059.6498,2876101.0,4681.83,33.7
Andorra,2016,3409412700.51704,77295.0,44109.10,
Austria,2016,421657228102.472,8736668.0,48262.93,30.8
Belarus,2016,59058702608.9201,9501534.0,6215.70,25.3
Belgium,2016,520063190330.958,11331422,45895.67,27.6
Bosnia and Herzegovina,2016,18934602269.0509,3386263.0,5591.59,
Bulgaria,2016,57111753665.4351,7127822.0,8012.51,40.6
Croatia,2016,61393139836.7654,4174349.0,14707.24,30.9
Czech Republic,2016,233151067380.883,10566332,22065.47,25.4
Denmark,2016,354437668050.905,5728010.0,61877.98,28.2
Estonia,2016,1529494224.16303,1315790.0,1162.42,31.2
Faroe Islands,2016,,48173.0,,
Finland,2016,257410958145.949,5495303.0,46842.00,27.1
France,2016,2814499568997.83,66724104,42181.15,31.9
Germany,2016,3778928349350.17,82348669,45889.37,31.9
Gibraltar,2016,,33738.0,,
Greece,2016,240758353595.684,10775971,22342.15,35.0
Hungary,2016,149301250250.029,9814023.0,15213.05,30.3
Iceland,2016,16706261705.8402,335439.0,49804.17,27.2
Ireland,2016,314381129555.559,4755335.0,66111.25,32.8
Italy,2016,2091213785858.19,60627498,34492.83,35.2
Latvia,2016,41520776742.7396,1959537.0,21189.08,34.3
Liechtenstein,2016,,37655.0,,
Lithuania,2016,13281695423.2095,2868231.0,4630.62,38.4
Luxembourg,2016,64178453456.4681,582014.0,110269.60,31.7
Malta,2016,12242418065.7844,455356.0,26885.38,29.1
Moldova,2016,8741545794.83075,2802170.0,3119.56,26.3
Monaco,2016,7399605196.87127,38070.0,194368.41,
Montenegro,2016,4667151600.8246,622303.0,7499.81,38.5
Netherlands,2016,898835229746.291,17030314,52778.55,28.2
North Macedonia,2016,10924134787.2329,2080746.0,5250.10,34.5
Norway,2016,472132485600.729,5234519.0,90195.96,28.5
Poland,2016,572451795841.21,37970087,15076.39,31.2
Portugal,2016,232896949514.553,10325452,22555.62,35.2
Romania,2016,200430189829.58,19702267,10172.95,34.4
Russian Federation,2016,1665694763578.53,144342397,11539.89,36.8
San Marino,2016,1653624799.59014,33503.0,49357.51,
Serbia,2016,45146586020.325,7058322.0,6396.22,38.8
Slovakia,2016,104788135893.823,5430798.0,19295.16,25.2
Slovenia,2016,50784767161.7182,2065042.0,24592.61,24.8
Spain,2016,1463316808003.09,46484062,31479.97,35.8
Sweden,2016,563517539985.087,9923085.0,56788.54,29.6
Switzerland,2016,673624122427.937,8373338.0,80448.70,33.0
Ukraine,2016,123912293812.632,45004673,2753.32,25.0
United Kingdom,2016,2790046007973.58,65611593,42523.67,34.8
Albania,2017,13977387390.5945,2873457.0,4864.31,33.2
Andorra,2017,3421211719.47501,76997.0,44433.05,
Austria,2017,431775262676.529,8797566.0,49078.95,29.7
Belarus,2017,60554177331.8333,9498264.0,6375.29,25.4
Belgium,2017,528496260419.776,11375158,46460.56,27.4
Bosnia and Herzegovina,2017,19535100848.8297,3351534.0,5828.70,
Bulgaria,2017,59112236490.8388,7075947.0,8353.97,40.4
Croatia,2017,63504583355.145,4124531.0,15396.80,30.4
Czech Republic,2017,245202003265.939,10594438,23144.41,24.9
Denmark,2017,364438964537.519,5764980.0,63216.00,28.7
Estonia,2017,1613603477.8319,1317384.0,1224.85,30.4
Faroe Islands,2017,,48326.0,,
Finland,2017,265628570361.662,5508214.0,48224.08,27.4
France,2017,2878991574857.68,66918020,43022.67,31.6
Germany,2017,3877255158232.27,82657002,46907.76,
Gibraltar,2017,,33723.0,,
Greece,2017,243842046377.8,10754679,22673.11,34.4
Hungary,2017,155746258233.436,9787966.0,15912.01,30.6
Iceland,2017,17407080835.653,343400.0,50690.39,26.1
Ireland,2017,343082365981.679,4807388.0,71365.65,31.4
Italy,2017,2126092284053.69,60536709,35120.71,35.9
Latvia,2017,42870501056.9186,1942248.0,22072.62,35.6
Liechtenstein,2017,,37805.0,,
Lithuania,2017,13850496906.4725,2828403.0,4896.93,37.3
Luxembourg,2017,65334423537.5936,596336.0,109559.75,34.5
Malta,2017,13236432054.2372,467999.0,28283.03,29.2
Moldova,2017,9151593647.17486,2755158.0,3321.62,25.9
Monaco,2017,7148018560.25454,38392.0,186185.11,
Montenegro,2017,4887274946.92473,622373.0,7852.65,
Netherlands,2017,924999447038.053,17131296,53994.72,28.5
North Macedonia,2017,11042309099.238,2081996.0,5303.71,34.2
Norway,2017,483101343264.083,5276968.0,91549.04,27.0
Poland,2017,600104964680.131,37974826,15802.70,29.7
Portugal,2017,241063120722.329,10300300,23403.50,33.8
Romania,2017,215100574411.243,19588715,10980.84,36.0
Russian Federation,2017,1696106853061.04,144496739,11738.03,37.2
San Marino,2017,1657895541.39012,33671.0,49238.08,
Serbia,2017,46095189764.125,7020858.0,6565.46,36.2
Slovakia,2017,107920798507.243,5439232.0,19841.18,
Slovenia,2017,53219159738.4832,2066388.0,25754.68,24.2
Spain,2017,1506830599353.93,46593236,32340.11,34.7
Sweden,2017,577988245098.533,10057698,57467.25,28.8
Switzerland,2017,684299849661.364,8451840.0,80964.60,32.7
Ukraine,2017,126968015121.443,44831135,2832.14,26.0
United Kingdom,2017,2838601442114.14,66058859,42970.79,35.1
Albania,2018,14546448944.4056,2866376.0,5074.86,
Andorra,2018,3475566750.62972,77008.0,45132.54,
Austria,2018,442915585749.024,8840521.0,50100.62,30.8
Belarus,2018,62461148027.2823,9483499.0,6586.30,25.2
Belgium,2018,537945351170.51,11427054,47076.47,27.2
Bosnia and Herzegovina,2018,20265727508.4724,3323929.0,6096.92,
Bulgaria,2018,60940251461.1954,7025037.0,8674.72,41.3
Croatia,2018,65287544197.8689,4087843.0,15971.15,29.7
Czech Republic,2018,253045172103.95,10629928,23804.98,25.0
Denmark,2018,372367867708.325,5793636.0,64271.88,28.2
Estonia,2018,1683883408.75594,1321977.0,1273.76,30.3
Faroe Islands,2018,,48497.0,,
Finland,2018,269113179058.496,5515525.0,48791.94,27.3
France,2018,2930607976267.93,67101930,43673.97,32.4
Germany,2018,3926418568780.85,82905782,47360.01,
Gibraltar,2018,,33715.0,,
Greece,2018,247643489387.938,10732882,23073.35,32.9
Hungary,2018,164156103282.558,9775564.0,16792.49,29.6
Iceland,2018,18227792282.9059,352721.0,51677.65,
Ireland,2018,372300617924.262,4867316.0,76489.92,
Italy,2018,2146114485858.04,60421760,35518.90,
Latvia,2018,44595743365.806,1927174.0,23140.49,35.1
Liechtenstein,2018,,37918.0,,
Lithuania,2018,14395769626.2351,2801543.0,5138.51,35.7
Luxembourg,2018,67366870478.9246,607950.0,110809.89,35.4
Malta,2018,13921976625.3068,484630.0,28727.02,28.7
Moldova,2018,9545247410.92867,2708214.0,3524.55,25.7
Monaco,2018,7584047726.36882,38682.0,196061.42,
Montenegro,2018,5135444172.57865,622227.0,8253.33,
Netherlands,2018,946837898609.854,17231624,54947.69,28.1
North Macedonia,2018,11360393491.8192,2082957.0,5453.97,33.0
Norway,2018,488506420357,5311916.0,91964.26,27.6
Poland,2018,632232812655.457,37974750,16648.77,30.2
Portugal,2018,247931796009.536,10283822,24108.92,33.5
Romania,2018,224725300753.379,19473970,11539.78,35.8
Russian Federation,2018,1743720734850.68,144477859,12069.12,37.5
San Marino,2018,1683506067.26526,33784.0,49831.46,
Serbia,2018,48167224454.1516,6982604.0,6898.18,
Slovakia,2018,111860040781.458,5446771.0,20536.95,25.0
Slovenia,2018,55552554713.0659,2073894.0,26786.59,24.6
Spain,2018,1543447293320.58,46797754,32981.23,34.7
Sweden,2018,589259147923.413,10175214,57911.23,30.0
Switzerland,2018,704920576240.946,8514329.0,82792.26,33.1
Ukraine,2018,131291651249.309,44622518,2942.27,26.1
United Kingdom,2018,2874157497314.14,66460344,43246.20,
Albania,2019,14862643983.3091,2854191.0,5207.31,
Andorra,2019,3545618454.19594,77146.0,45959.85,
Austria,2019,449199380962.245,8879920.0,50585.97,
Belarus,2019,63335604099.6643,9417849.0,6725.06,25.3
Belgium,2019,547546031612.432,11488980,47658.37,
Bosnia and Herzegovina,2019,20839450781.6725,3300998.0,6313.08,
Bulgaria,2019,63191572277.6213,6975761.0,9058.74,
Croatia,2019,67154066752.8158,4065253.0,16519.04,
Czech Republic,2019,258899638367.936,10671870,24260.01,
Denmark,2019,382978543873.05,5814422.0,65867.00,
Estonia,2019,1768017696.68141,1326898.0,1332.44,
Faroe Islands,2019,,48677.0,,
Finland,2019,272538565989.577,5521606.0,49358.57,
France,2019,2974818953250.52,67248926,44235.93,
Germany,2019,3948227895585.61,83092962,47515.79,
Gibraltar,2019,,33706.0,,
Greece,2019,252241424421.126,10721582,23526.51,
Hungary,2019,171775075702.853,9771141.0,17579.84,
Iceland,2019,18696066454.1507,360563.0,51852.43,
Ireland,2019,393019896249.931,4934340.0,79649.94,
Italy,2019,2152283490598.57,59729081,36034.10,
Latvia,2019,45499749575.0179,1913822.0,23774.28,
Liechtenstein,2019,,38020.0,,
Lithuania,2019,15020382065.0197,2794137.0,5375.68,
Luxembourg,2019,68914273222.8934,620001.0,111151.87,
Malta,2019,14693193755.8639,504062.0,29149.58,
Moldova,2019,9887013493.08368,2663251.0,3712.39,
Monaco,2019,8152851305.84648,38967.0,209224.51,
Montenegro,2019,5344094979.59219,622028.0,8591.41,
Netherlands,2019,962720331434.427,17344874,55504.60,
North Macedonia,2019,11720989518.407,2083458.0,5625.74,
Norway,2019,492667994894.748,5347896.0,92123.71,
Poland,2019,660941995821.311,37965475,17409.03,
Portugal,2019,254102715783.64,10286263,24703.11,
Romania,2019,234000727422.063,19371648,12079.55,
Russian Federation,2019,1779170276409.99,144406261,12320.59,
San Marino,2019,1723484312.19022,33864.0,50894.29,
Serbia,2019,50213615458.7398,6945235.0,7229.94,
Slovakia,2019,114669504300.232,5454147.0,21024.28,
Slovenia,2019,57321537836.0769,2088385.0,27447.78,
Spain,2019,1573546474089.29,47133521,33384.87,
Sweden,2019,597331155543.357,10278887,58112.44,
Switzerland,2019,712547329373.334,8575280.0,83093.19,
Ukraine,2019,135521189665.04,44386203,3053.23,26.6
United Kingdom,2019,2913556871434.81,66836327,43592.41,
Albania,2020,14370506253.3253,2837743.0,5064.06,
Andorra,2020,3121702240.48787,77265.0,40402.54,
Austria,2020,419595298128.512,8917205.0,47054.58,
Belarus,2020,62765583662.6109,9398861.0,6678.00,
Belgium,2020,513138622534.939,11555997,44404.53,
Bosnia and Herzegovina,2020,19937655682.3208,3280815.0,6077.04,
Bulgaria,2020,60566782151.677,6927288.0,8743.22,
Croatia,2020,61535031999.3384,4047200.0,15204.35,
Czech Republic,2020,244395294183.036,10698896,22843.04,
Denmark,2020,372510633673.233,5831404.0,63880.09,
Estonia,2020,1716175032.13533,1331057.0,1289.33,
Faroe Islands,2020,,48865.0,,
Finland,2020,264979499809.023,5530719.0,47910.50,
France,2020,2733415158875.63,67391582,40560.19,
Germany,2020,3754901122212.8,83240525,45109.05,
Gibraltar,2020,,33691.0,,
Greece,2020,231437217362.581,10715549,21598.26,
Hungary,2020,163260617185.897,9749763.0,16745.09,
Iceland,2020,17452945287.5673,366425.0,47630.33,
Ireland,2020,406452591286.675,4994724.0,81376.39,
Italy,2020,1961351272330.88,59554023,32933.98,
Latvia,2020,43850982467.9886,1901548.0,23060.68,
Liechtenstein,2020,,38137.0,,
Lithuania,2020,14889418521.7028,2794700.0,5327.73,
Luxembourg,2020,68009287856.1291,632275.0,107562.83,
Malta,2020,13664504216.412,525285.0,26013.51,
Moldova,2020,9197982945.48309,2617820.0,3513.60,
Monaco,2020,,39244.0,,
Montenegro,2020,4533984453.54349,621718.0,7292.67,
Netherlands,2020,926701803851.381,17441139,53133.10,
North Macedonia,2020,11189794856.6502,2083380.0,5370.98,
Norway,2020,488911512109.457,5379475.0,90884.61,
Poland,2020,643085265147.747,37950802,16945.24,
Portugal,2020,234883361042.573,10305564,22791.90,
Romania,2020,224969765141.554,19286123,11664.85,
Russian Federation,2020,1726662088420.88,144104080,11982.05,
San Marino,2020,,33938.0,,
Serbia,2020,49721665328.7509,6908224.0,7197.46,
Slovakia,2020,109217742998.773,5458827.0,20007.55,
Slovenia,2020,54150391223.0043,2100126.0,25784.35,
Spain,2020,1402990600402.94,47351567,29629.23,
Sweden,2020,580499441330.262,10353442,56068.26,
Switzerland,2020,692095426032.167,8636896.0,80132.43,
Ukraine,2020,130072807270.765,44134693,2947.18,
