"industry_name","payroll_year","avg_salary","previous_year_salary","difference","trend"
Činnosti v oblasti nemovitostí,2006,17550.7500000000000000,16365.0000000000000000,1185.7500000000000000,growth
Činnosti v oblasti nemovitostí,2007,18994.5000000000000000,17550.7500000000000000,1443.7500000000000000,growth
Činnosti v oblasti nemovitostí,2008,19656.2500000000000000,18994.5000000000000000,661.7500000000000000,growth
Činnosti v oblasti nemovitostí,2009,19919.2500000000000000,19656.2500000000000000,263.0000000000000000,growth
Činnosti v oblasti nemovitostí,2010,20264.750000000000,19919.2500000000000000,345.5000000000000000,growth
Činnosti v oblasti nemovitostí,2011,21083.500000000000,20264.750000000000,818.750000000000,growth
Činnosti v oblasti nemovitostí,2012,21438.500000000000,21083.500000000000,355.000000000000,growth
Činnosti v oblasti nemovitostí,2013,21094.000000000000,21438.500000000000,-344.500000000000,decrease
Činnosti v oblasti nemovitostí,2014,21811.750000000000,21094.000000000000,717.750000000000,growth
Činnosti v oblasti nemovitostí,2015,22569.000000000000,21811.750000000000,757.250000000000,growth
Činnosti v oblasti nemovitostí,2016,23635.500000000000,22569.000000000000,1066.500000000000,growth
Činnosti v oblasti nemovitostí,2017,25194.750000000000,23635.500000000000,1559.250000000000,growth
Činnosti v oblasti nemovitostí,2018,27059.500000000000,25194.750000000000,1864.750000000000,growth
Činnosti v oblasti nemovitostí,2019,29743.000000000000,27059.500000000000,2683.500000000000,growth
Činnosti v oblasti nemovitostí,2020,27611.750000000000,29743.000000000000,-2131.250000000000,decrease
Činnosti v oblasti nemovitostí,2021,30520.000000000000,27611.750000000000,2908.250000000000,growth
Doprava a skladování,2000,13190.0000000000000000,,,no change
Doprava a skladování,2001,14112.7500000000000000,13190.0000000000000000,922.7500000000000000,growth
Doprava a skladování,2002,15173.2500000000000000,14112.7500000000000000,1060.5000000000000000,growth
Doprava a skladování,2003,15987.7500000000000000,15173.2500000000000000,814.5000000000000000,growth
Doprava a skladování,2004,17098.7500000000000000,15987.7500000000000000,1111.0000000000000000,growth
Doprava a skladování,2005,17941.2500000000000000,17098.7500000000000000,842.5000000000000000,growth
Doprava a skladování,2006,18993.7500000000000000,17941.2500000000000000,1052.5000000000000000,growth
Doprava a skladování,2007,20394.000000000000,18993.7500000000000000,1400.2500000000000000,growth
Doprava a skladování,2008,22008.000000000000,20394.000000000000,1614.000000000000,growth
Doprava a skladování,2009,22688.750000000000,22008.000000000000,680.750000000000,growth
Doprava a skladování,2010,22740.250000000000,22688.750000000000,51.500000000000,growth
Doprava a skladování,2011,22756.250000000000,22740.250000000000,16.000000000000,growth
Doprava a skladování,2012,22998.500000000000,22756.250000000000,242.250000000000,growth
Doprava a skladování,2013,23127.000000000000,22998.500000000000,128.500000000000,growth
Doprava a skladování,2014,23600.000000000000,23127.000000000000,473.000000000000,growth
Doprava a skladování,2015,24369.500000000000,23600.000000000000,769.500000000000,growth
Doprava a skladování,2016,25505.750000000000,24369.500000000000,1136.250000000000,growth
Doprava a skladování,2017,27152.250000000000,25505.750000000000,1646.500000000000,growth
Doprava a skladování,2018,29135.750000000000,27152.250000000000,1983.500000000000,growth
Doprava a skladování,2019,31160.500000000000,29135.750000000000,2024.750000000000,growth
Doprava a skladování,2020,31354.000000000000,31160.500000000000,193.500000000000,growth
Doprava a skladování,2021,31619.000000000000,31354.000000000000,265.000000000000,growth
Informační a komunikační činnosti,2000,21591.750000000000,,,no change
Informační a komunikační činnosti,2001,24882.250000000000,21591.750000000000,3290.500000000000,growth
Informační a komunikační činnosti,2002,26725.500000000000,24882.250000000000,1843.250000000000,growth
Informační a komunikační činnosti,2003,28793.000000000000,26725.500000000000,2067.500000000000,growth
Informační a komunikační činnosti,2004,30605.750000000000,28793.000000000000,1812.750000000000,growth
Informační a komunikační činnosti,2005,32679.500000000000,30605.750000000000,2073.750000000000,growth
Informační a komunikační činnosti,2006,34942.000000000000,32679.500000000000,2262.500000000000,growth
Informační a komunikační činnosti,2007,37204.000000000000,34942.000000000000,2262.000000000000,growth
Informační a komunikační činnosti,2008,40861.500000000000,37204.000000000000,3657.500000000000,growth
Informační a komunikační činnosti,2009,42237.750000000000,40861.500000000000,1376.250000000000,growth
Informační a komunikační činnosti,2010,42807.250000000000,42237.750000000000,569.500000000000,growth
Informační a komunikační činnosti,2011,44265.250000000000,42807.250000000000,1458.000000000000,growth
Informační a komunikační činnosti,2012,45689.500000000000,44265.250000000000,1424.250000000000,growth
Informační a komunikační činnosti,2013,45240.000000000000,45689.500000000000,-449.500000000000,decrease
Informační a komunikační činnosti,2014,46875.000000000000,45240.000000000000,1635.000000000000,growth
Informační a komunikační činnosti,2015,47833.000000000000,46875.000000000000,958.000000000000,growth
Informační a komunikační činnosti,2016,49160.750000000000,47833.000000000000,1327.750000000000,growth
Informační a komunikační činnosti,2017,51640.750000000000,49160.750000000000,2480.000000000000,growth
Informační a komunikační činnosti,2018,55474.750000000000,51640.750000000000,3834.000000000000,growth
Informační a komunikační činnosti,2019,57779.750000000000,55474.750000000000,2305.000000000000,growth
Informační a komunikační činnosti,2020,60131.500000000000,57779.750000000000,2351.750000000000,growth
Informační a komunikační činnosti,2021,62433.500000000000,60131.500000000000,2302.000000000000,growth
"Kulturní, zábavní a rekreační činnosti",2000,10282.0000000000000000,,,no change
"Kulturní, zábavní a rekreační činnosti",2001,11651.2500000000000000,10282.0000000000000000,1369.2500000000000000,growth
"Kulturní, zábavní a rekreační činnosti",2002,12008.5000000000000000,11651.2500000000000000,357.2500000000000000,growth
"Kulturní, zábavní a rekreační činnosti",2003,12887.0000000000000000,12008.5000000000000000,878.5000000000000000,growth
"Kulturní, zábavní a rekreační činnosti",2004,13790.5000000000000000,12887.0000000000000000,903.5000000000000000,growth
"Kulturní, zábavní a rekreační činnosti",2005,14684.5000000000000000,13790.5000000000000000,894.0000000000000000,growth
"Kulturní, zábavní a rekreační činnosti",2006,15477.5000000000000000,14684.5000000000000000,793.0000000000000000,growth
"Kulturní, zábavní a rekreační činnosti",2007,16473.0000000000000000,15477.5000000000000000,995.5000000000000000,growth
"Kulturní, zábavní a rekreační činnosti",2008,17384.2500000000000000,16473.0000000000000000,911.2500000000000000,growth
"Kulturní, zábavní a rekreační činnosti",2009,18325.5000000000000000,17384.2500000000000000,941.2500000000000000,growth
"Kulturní, zábavní a rekreační činnosti",2010,18610.5000000000000000,18325.5000000000000000,285.0000000000000000,growth
"Kulturní, zábavní a rekreační činnosti",2011,18562.0000000000000000,18610.5000000000000000,-48.5000000000000000,decrease
"Kulturní, zábavní a rekreační činnosti",2012,19550.5000000000000000,18562.0000000000000000,988.5000000000000000,growth
"Kulturní, zábavní a rekreační činnosti",2013,19293.0000000000000000,19550.5000000000000000,-257.5000000000000000,decrease
"Kulturní, zábavní a rekreační činnosti",2014,20118.750000000000,19293.0000000000000000,825.7500000000000000,growth
"Kulturní, zábavní a rekreační činnosti",2015,20850.500000000000,20118.750000000000,731.750000000000,growth
"Kulturní, zábavní a rekreační činnosti",2016,22202.000000000000,20850.500000000000,1351.500000000000,growth
"Kulturní, zábavní a rekreační činnosti",2017,24199.250000000000,22202.000000000000,1997.250000000000,growth
"Kulturní, zábavní a rekreační činnosti",2018,26761.750000000000,24199.250000000000,2562.500000000000,growth
"Kulturní, zábavní a rekreační činnosti",2019,29346.250000000000,26761.750000000000,2584.500000000000,growth
"Kulturní, zábavní a rekreační činnosti",2020,29484.750000000000,29346.250000000000,138.500000000000,growth
"Kulturní, zábavní a rekreační činnosti",2021,28680.500000000000,29484.750000000000,-804.250000000000,decrease
Ostatní činnosti,2000,9974.2500000000000000,,,no change
Ostatní činnosti,2001,10912.5000000000000000,9974.2500000000000000,938.2500000000000000,growth
Ostatní činnosti,2002,11959.2500000000000000,10912.5000000000000000,1046.7500000000000000,growth
Ostatní činnosti,2003,12942.2500000000000000,11959.2500000000000000,983.0000000000000000,growth
Ostatní činnosti,2004,13495.2500000000000000,12942.2500000000000000,553.0000000000000000,growth
Ostatní činnosti,2005,14072.2500000000000000,13495.2500000000000000,577.0000000000000000,growth
Ostatní činnosti,2006,14955.0000000000000000,14072.2500000000000000,882.7500000000000000,growth
Ostatní činnosti,2007,15929.2500000000000000,14955.0000000000000000,974.2500000000000000,growth
Ostatní činnosti,2008,16491.2500000000000000,15929.2500000000000000,562.0000000000000000,growth
Ostatní činnosti,2009,16781.7500000000000000,16491.2500000000000000,290.5000000000000000,growth
Ostatní činnosti,2010,16803.7500000000000000,16781.7500000000000000,22.0000000000000000,growth
Ostatní činnosti,2011,17610.7500000000000000,16803.7500000000000000,807.0000000000000000,growth
Ostatní činnosti,2012,17853.0000000000000000,17610.7500000000000000,242.2500000000000000,growth
Ostatní činnosti,2013,17901.5000000000000000,17853.0000000000000000,48.5000000000000000,growth
Ostatní činnosti,2014,18036.5000000000000000,17901.5000000000000000,135.0000000000000000,growth
Ostatní činnosti,2015,18601.0000000000000000,18036.5000000000000000,564.5000000000000000,growth
Ostatní činnosti,2016,19149.7500000000000000,18601.0000000000000000,548.7500000000000000,growth
Ostatní činnosti,2017,20017.500000000000,19149.7500000000000000,867.7500000000000000,growth
Ostatní činnosti,2018,21249.500000000000,20017.500000000000,1232.000000000000,growth
Ostatní činnosti,2019,22556.000000000000,21249.500000000000,1306.500000000000,growth
Ostatní činnosti,2020,22765.000000000000,22556.000000000000,209.000000000000,growth
Ostatní činnosti,2021,23279.500000000000,22765.000000000000,514.500000000000,growth
Peněžnictví a pojišťovnictví,2000,24927.000000000000,,,no change
Peněžnictví a pojišťovnictví,2001,28361.500000000000,24927.000000000000,3434.500000000000,growth
Peněžnictví a pojišťovnictví,2002,30869.000000000000,28361.500000000000,2507.500000000000,growth
Peněžnictví a pojišťovnictví,2003,32467.250000000000,30869.000000000000,1598.250000000000,growth
Peněžnictví a pojišťovnictví,2004,34732.750000000000,32467.250000000000,2265.500000000000,growth
Peněžnictví a pojišťovnictví,2005,36713.000000000000,34732.750000000000,1980.250000000000,growth
Peněžnictví a pojišťovnictví,2006,39353.250000000000,36713.000000000000,2640.250000000000,growth
Peněžnictví a pojišťovnictví,2007,40725.250000000000,39353.250000000000,1372.000000000000,growth
Peněžnictví a pojišťovnictví,2008,43974.750000000000,40725.250000000000,3249.500000000000,growth
Peněžnictví a pojišťovnictví,2009,44708.500000000000,43974.750000000000,733.750000000000,growth
Peněžnictví a pojišťovnictví,2010,45339.500000000000,44708.500000000000,631.000000000000,growth
Peněžnictví a pojišťovnictví,2011,46568.500000000000,45339.500000000000,1229.000000000000,growth
Peněžnictví a pojišťovnictví,2012,49706.500000000000,46568.500000000000,3138.000000000000,growth
Peněžnictví a pojišťovnictví,2013,45233.500000000000,49706.500000000000,-4473.000000000000,decrease
Peněžnictví a pojišťovnictví,2014,46999.500000000000,45233.500000000000,1766.000000000000,growth
Peněžnictví a pojišťovnictví,2015,47077.250000000000,46999.500000000000,77.750000000000,growth
Peněžnictví a pojišťovnictví,2016,48683.000000000000,47077.250000000000,1605.750000000000,growth
Peněžnictví a pojišťovnictví,2017,50524.250000000000,48683.000000000000,1841.250000000000,growth
Peněžnictví a pojišťovnictví,2018,53339.500000000000,50524.250000000000,2815.250000000000,growth
Peněžnictví a pojišťovnictví,2019,57456.000000000000,53339.500000000000,4116.500000000000,growth
Peněžnictví a pojišťovnictví,2020,57570.750000000000,57456.000000000000,114.750000000000,growth
Peněžnictví a pojišťovnictví,2021,60539.000000000000,57570.750000000000,2968.250000000000,growth
"Profesní, vědecké a technické činnosti",2000,15337.0000000000000000,,,no change
"Profesní, vědecké a technické činnosti",2001,16565.5000000000000000,15337.0000000000000000,1228.5000000000000000,growth
"Profesní, vědecké a technické činnosti",2002,18257.0000000000000000,16565.5000000000000000,1691.5000000000000000,growth
"Profesní, vědecké a technické činnosti",2003,19476.5000000000000000,18257.0000000000000000,1219.5000000000000000,growth
"Profesní, vědecké a technické činnosti",2004,20346.500000000000,19476.5000000000000000,870.0000000000000000,growth
"Profesní, vědecké a technické činnosti",2005,22005.500000000000,20346.500000000000,1659.000000000000,growth
"Profesní, vědecké a technické činnosti",2006,23105.750000000000,22005.500000000000,1100.250000000000,growth
"Profesní, vědecké a technické činnosti",2007,25317.000000000000,23105.750000000000,2211.250000000000,growth
"Profesní, vědecké a technické činnosti",2008,28658.500000000000,25317.000000000000,3341.500000000000,growth
"Profesní, vědecké a technické činnosti",2009,30284.000000000000,28658.500000000000,1625.500000000000,growth
"Profesní, vědecké a technické činnosti",2010,30094.750000000000,30284.000000000000,-189.250000000000,decrease
"Profesní, vědecké a technické činnosti",2011,30475.500000000000,30094.750000000000,380.750000000000,growth
"Profesní, vědecké a technické činnosti",2012,31141.250000000000,30475.500000000000,665.750000000000,growth
"Profesní, vědecké a technické činnosti",2013,30274.250000000000,31141.250000000000,-867.000000000000,decrease
"Profesní, vědecké a technické činnosti",2014,31093.750000000000,30274.250000000000,819.500000000000,growth
"Profesní, vědecké a technické činnosti",2015,32029.000000000000,31093.750000000000,935.250000000000,growth
"Profesní, vědecké a technické činnosti",2016,33141.750000000000,32029.000000000000,1112.750000000000,growth
"Profesní, vědecké a technické činnosti",2017,35010.750000000000,33141.750000000000,1869.000000000000,growth
"Profesní, vědecké a technické činnosti",2018,37162.750000000000,35010.750000000000,2152.000000000000,growth
"Profesní, vědecké a technické činnosti",2019,39518.250000000000,37162.750000000000,2355.500000000000,growth
"Profesní, vědecké a technické činnosti",2020,39640.000000000000,39518.250000000000,121.750000000000,growth
"Profesní, vědecké a technické činnosti",2021,40581.500000000000,39640.000000000000,941.500000000000,growth
Stavebnictví,2000,12484.5000000000000000,,,no change
Stavebnictví,2001,13358.5000000000000000,12484.5000000000000000,874.0000000000000000,growth
Stavebnictví,2002,14032.7500000000000000,13358.5000000000000000,674.2500000000000000,growth
Stavebnictví,2003,15023.2500000000000000,14032.7500000000000000,990.5000000000000000,growth
Stavebnictví,2004,16072.5000000000000000,15023.2500000000000000,1049.2500000000000000,growth
Stavebnictví,2005,16601.5000000000000000,16072.5000000000000000,529.0000000000000000,growth
Stavebnictví,2006,17643.7500000000000000,16601.5000000000000000,1042.2500000000000000,growth
Stavebnictví,2007,18831.2500000000000000,17643.7500000000000000,1187.5000000000000000,growth
Stavebnictví,2008,20692.500000000000,18831.2500000000000000,1861.2500000000000000,growth
Stavebnictví,2009,21813.000000000000,20692.500000000000,1120.500000000000,growth
Stavebnictví,2010,21961.750000000000,21813.000000000000,148.750000000000,growth
Stavebnictví,2011,22494.250000000000,21961.750000000000,532.500000000000,growth
Stavebnictví,2012,22571.750000000000,22494.250000000000,77.500000000000,growth
Stavebnictví,2013,22073.750000000000,22571.750000000000,-498.000000000000,decrease
Stavebnictví,2014,22605.000000000000,22073.750000000000,531.250000000000,growth
Stavebnictví,2015,23586.250000000000,22605.000000000000,981.250000000000,growth
Stavebnictví,2016,24551.250000000000,23586.250000000000,965.000000000000,growth
Stavebnictví,2017,25703.000000000000,24551.250000000000,1151.750000000000,growth
Stavebnictví,2018,27821.750000000000,25703.000000000000,2118.750000000000,growth
Stavebnictví,2019,29695.000000000000,27821.750000000000,1873.250000000000,growth
Stavebnictví,2020,30169.500000000000,29695.000000000000,474.500000000000,growth
Stavebnictví,2021,30007.000000000000,30169.500000000000,-162.500000000000,decrease
Těžba a dobývání,2000,16534.5000000000000000,,,no change
Těžba a dobývání,2001,17705.5000000000000000,16534.5000000000000000,1171.0000000000000000,growth
Těžba a dobývání,2002,18731.5000000000000000,17705.5000000000000000,1026.0000000000000000,growth
Těžba a dobývání,2003,19660.5000000000000000,18731.5000000000000000,929.0000000000000000,growth
Těžba a dobývání,2004,21105.250000000000,19660.5000000000000000,1444.7500000000000000,growth
Těžba a dobývání,2005,22636.500000000000,21105.250000000000,1531.250000000000,growth
Těžba a dobývání,2006,24017.500000000000,22636.500000000000,1381.000000000000,growth
Těžba a dobývání,2007,25675.750000000000,24017.500000000000,1658.250000000000,growth
Těžba a dobývání,2008,29236.000000000000,25675.750000000000,3560.250000000000,growth
Těžba a dobývání,2009,27960.500000000000,29236.000000000000,-1275.500000000000,decrease
Těžba a dobývání,2010,30203.500000000000,27960.500000000000,2243.000000000000,growth
Těžba a dobývání,2011,31445.750000000000,30203.500000000000,1242.250000000000,growth
Těžba a dobývání,2012,32487.000000000000,31445.750000000000,1041.250000000000,growth
Těžba a dobývání,2013,31685.750000000000,32487.000000000000,-801.250000000000,decrease
Těžba a dobývání,2014,31370.250000000000,31685.750000000000,-315.500000000000,decrease
Těžba a dobývání,2015,31539.500000000000,31370.250000000000,169.250000000000,growth
Těžba a dobývání,2016,31348.000000000000,31539.500000000000,-191.500000000000,decrease
Těžba a dobývání,2017,33462.250000000000,31348.000000000000,2114.250000000000,growth
Těžba a dobývání,2018,35942.750000000000,33462.250000000000,2480.500000000000,growth
Těžba a dobývání,2019,37005.750000000000,35942.750000000000,1063.000000000000,growth
Těžba a dobývání,2020,37203.250000000000,37005.750000000000,197.500000000000,growth
Těžba a dobývání,2021,37874.500000000000,37203.250000000000,671.250000000000,growth
"Ubytování, stravování a pohostinství",2000,7283.5000000000000000,,,no change
"Ubytování, stravování a pohostinství",2001,8004.7500000000000000,7283.5000000000000000,721.2500000000000000,growth
"Ubytování, stravování a pohostinství",2002,8995.2500000000000000,8004.7500000000000000,990.5000000000000000,growth
"Ubytování, stravování a pohostinství",2003,9468.2500000000000000,8995.2500000000000000,473.0000000000000000,growth
"Ubytování, stravování a pohostinství",2004,9819.0000000000000000,9468.2500000000000000,350.7500000000000000,growth
"Ubytování, stravování a pohostinství",2005,10257.5000000000000000,9819.0000000000000000,438.5000000000000000,growth
"Ubytování, stravování a pohostinství",2006,11105.7500000000000000,10257.5000000000000000,848.2500000000000000,growth
"Ubytování, stravování a pohostinství",2007,11738.5000000000000000,11105.7500000000000000,632.7500000000000000,growth
"Ubytování, stravování a pohostinství",2008,11937.5000000000000000,11738.5000000000000000,199.0000000000000000,growth
"Ubytování, stravování a pohostinství",2009,11782.7500000000000000,11937.5000000000000000,-154.7500000000000000,decrease
"Ubytování, stravování a pohostinství",2010,12644.5000000000000000,11782.7500000000000000,861.7500000000000000,growth
"Ubytování, stravování a pohostinství",2011,12431.2500000000000000,12644.5000000000000000,-213.2500000000000000,decrease
"Ubytování, stravování a pohostinství",2012,12705.7500000000000000,12431.2500000000000000,274.5000000000000000,growth
"Ubytování, stravování a pohostinství",2013,13115.0000000000000000,12705.7500000000000000,409.2500000000000000,growth
"Ubytování, stravování a pohostinství",2014,13429.0000000000000000,13115.0000000000000000,314.0000000000000000,growth
"Ubytování, stravování a pohostinství",2015,14198.0000000000000000,13429.0000000000000000,769.0000000000000000,growth
"Ubytování, stravování a pohostinství",2016,15042.2500000000000000,14198.0000000000000000,844.2500000000000000,growth
"Ubytování, stravování a pohostinství",2017,16889.0000000000000000,15042.2500000000000000,1846.7500000000000000,growth
"Ubytování, stravování a pohostinství",2018,18270.2500000000000000,16889.0000000000000000,1381.2500000000000000,growth
"Ubytování, stravování a pohostinství",2019,19805.0000000000000000,18270.2500000000000000,1534.7500000000000000,growth
"Ubytování, stravování a pohostinství",2020,18443.7500000000000000,19805.0000000000000000,-1361.2500000000000000,decrease
"Ubytování, stravování a pohostinství",2021,19281.0000000000000000,18443.7500000000000000,837.2500000000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2000,12116.5000000000000000,,,no change
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2001,13095.2500000000000000,12116.5000000000000000,978.7500000000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2002,14098.0000000000000000,13095.2500000000000000,1002.7500000000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2003,14787.2500000000000000,14098.0000000000000000,689.2500000000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2004,15712.2500000000000000,14787.2500000000000000,925.0000000000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2005,16421.2500000000000000,15712.2500000000000000,709.0000000000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2006,17507.2500000000000000,16421.2500000000000000,1086.0000000000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2007,19037.5000000000000000,17507.2500000000000000,1530.2500000000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2008,20597.250000000000,19037.5000000000000000,1559.7500000000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2009,20577.000000000000,20597.250000000000,-20.250000000000,decrease
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2010,21210.500000000000,20577.000000000000,633.500000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2011,21863.500000000000,21210.500000000000,653.000000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2012,22441.000000000000,21863.500000000000,577.500000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2013,22203.750000000000,22441.000000000000,-237.250000000000,decrease
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2014,22906.750000000000,22203.750000000000,703.000000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2015,23912.750000000000,22906.750000000000,1006.000000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2016,25070.250000000000,23912.750000000000,1157.500000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2017,26957.500000000000,25070.250000000000,1887.250000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2018,28833.750000000000,26957.500000000000,1876.250000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2019,30909.500000000000,28833.750000000000,2075.750000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2020,30927.500000000000,30909.500000000000,18.000000000000,growth
Velkoobchod a maloobchod; opravy a údržba motorových vozidel,2021,31992.500000000000,30927.500000000000,1065.000000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2000,15078.5000000000000000,,,no change
Veřejná správa a obrana; povinné sociální zabezpečení,2001,16460.0000000000000000,15078.5000000000000000,1381.5000000000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2002,18045.2500000000000000,16460.0000000000000000,1585.2500000000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2003,19452.0000000000000000,18045.2500000000000000,1406.7500000000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2004,20460.250000000000,19452.0000000000000000,1008.2500000000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2005,21828.500000000000,20460.250000000000,1368.250000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2006,22852.750000000000,21828.500000000000,1024.250000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2007,24590.250000000000,22852.750000000000,1737.500000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2008,25759.000000000000,24590.250000000000,1168.750000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2009,26555.250000000000,25759.000000000000,796.250000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2010,26470.500000000000,26555.250000000000,-84.750000000000,decrease
Veřejná správa a obrana; povinné sociální zabezpečení,2011,25887.250000000000,26470.500000000000,-583.250000000000,decrease
Veřejná správa a obrana; povinné sociální zabezpečení,2012,26285.250000000000,25887.250000000000,398.000000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2013,26293.500000000000,26285.250000000000,8.250000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2014,27104.750000000000,26293.500000000000,811.250000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2015,28409.250000000000,27104.750000000000,1304.500000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2016,30007.500000000000,28409.250000000000,1598.250000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2017,32442.250000000000,30007.500000000000,2434.750000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2018,35714.500000000000,32442.250000000000,3272.250000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2019,38048.250000000000,35714.500000000000,2333.750000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2020,39928.500000000000,38048.250000000000,1880.250000000000,growth
Veřejná správa a obrana; povinné sociální zabezpečení,2021,39008.000000000000,39928.500000000000,-920.500000000000,decrease
"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",2000,18140.7500000000000000,,,no change
"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",2001,19647.0000000000000000,18140.7500000000000000,1506.2500000000000000,growth
"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",2002,21369.250000000000,19647.0000000000000000,1722.2500000000000000,growth
"Výroba a rozvod elektřiny, plynu, tepla a klimatiz. vzduchu",2003,22834.250000000000,21369.250000000000,1465.000000000000,growth
